SP label,Exit code for alignment,Length of the alignment found,Length of the orignal trace,Places in the synchronous product,Transtions in the synchronous product,Cost of the alignment,Transitions fired,Markings polled from queue,Markings added to closed set,Markings queued,Markings reached,Heuristics computed,Heuristics estimated,Heuristics derived,Maximum queue length (elts),Maximum queue capacity (elts),Maximum capacity visited set (elts),Approximate peak memory used (kb),Time to compute alignment (us),Time to compute heuristics (us),Time to setup algorithm (us),Total Time including setup (us),Number of splits when splitting marking,Log move cost of alignment,Model move cost of alignment,Synchronous move cost of alignment,Pre-processing time (us),Size of the constraintset,Number of times replay was restarted,max Memory (MB),total Memory (MB),free Memory (MB)
Empty,1,1,1,2,3,1,3,2,1,2,2,1,0,1,1,16,37,1,8220,252,5670,13890,0,0,1,0,696,0,0,4088,256,232
1,1,4,4,7,8,3,8,5,4,7,7,1,2,4,3,16,37,1,2445,121,41,2486,0,3,0,0,940,0,0,4088,256,232
2,1,2,1,4,4,2,5,4,3,4,4,1,0,3,2,16,37,1,2550,145,27,2577,0,1,1,0,29,0,0,4088,256,232
