SP label,Exit code for alignment,Length of the alignment found,Length of the orignal trace,Places in the synchronous product,Transtions in the synchronous product,Cost of the alignment,Transitions fired,Markings polled from queue,Markings added to closed set,Markings queued,Markings reached,Heuristics computed,Heuristics estimated,Heuristics derived,Maximum queue length (elts),Maximum queue capacity (elts),Maximum capacity visited set (elts),Approximate peak memory used (kb),Time to compute alignment (us),Time to compute heuristics (us),Time to setup algorithm (us),Total Time including setup (us),Number of splits when splitting marking,Log move cost of alignment,Model move cost of alignment,Synchronous move cost of alignment,Pre-processing time (us),Size of the constraintset,Number of times replay was restarted,max Memory (MB),total Memory (MB),free Memory (MB)
Empty,1,1,1,2,1,1,1,2,1,2,2,1,0,1,1,16,37,0,10378,232,6722,17100,0,0,1,0,796,0,0,4088,256,235
1,1,3,2,5,3,3,5,6,5,6,6,1,0,5,2,16,37,1,3650,117,30,3680,0,2,1,0,58,0,0,4088,256,235
